"game_id","team","opponent","h/a","l8_sa","l8_sog","l8_miss","l8_blocks","l4_sa","l4_sog","l4_miss","l4_blocks","ha_sa","ha_sog","ha_miss","ha_blocks","l8_sa_ag","l8_sog_ag","l8_miss_ag","l8_blocks_ag","l4_sa_ag","l4_sog_ag","l4_miss_ag","l4_blocks_ag","ha_sa_ag","ha_sog_ag","ha_miss_ag","ha_blocks_ag","is_b2b","opp_is_b2b","true_sog","sog_trend","sog_ag_trend","home","off_def_gap","pace","shot_perc","shot_perc_ag"
2025020208,"NSH","MIN","home",56,27.375,10.375,18.25,58.25,26.5,11,20.75,55.1111111111111,26.7777777777778,10.8888888888889,17.4444444444444,58.25,28.625,14.25,15.375,53.5,27,13.75,12.75,63.1666666666667,29.3333333333333,14.6666666666667,19.1666666666667,1,0,34,-0.875,-1.625,1,-1.25,56,0.488839285714286,0.491416309012876
2025020209,"TBL","COL","home",64.75,29.875,17.875,17,59,29.75,15.25,14,63.8333333333333,27.8333333333333,17.3333333333333,18.6666666666667,53,24.875,12.625,15.5,58.5,25,14.25,19.25,56.625,24.75,14.75,17.125,0,0,24,-0.125,0.125,1,5,54.75,0.461389961389961,0.469339622641509
2025020210,"DET","VGK","home",63.125,28.375,16.25,18.5,59.25,27.25,17,15,60.1666666666667,29.1666666666667,14.1666666666667,16.8333333333333,61,26.375,14.25,20.375,60.25,26,14.25,20,59.3333333333333,25.3333333333333,15.1666666666667,18.8333333333333,0,0,24,-1.125,-0.375,1,2,54.75,0.44950495049505,0.432377049180328
2025020211,"FLA","ANA","home",66.875,27.75,18.625,20.5,72.75,31,20,21.75,68.1428571428571,31.7142857142857,17,19.4285714285714,67.625,33,17.5,17.125,70.5,33,20.5,17,63.2857142857143,31.8571428571429,16.1428571428571,15.2857142857143,0,0,21,3.25,0,1,-5.25,60.75,0.414953271028037,0.487985212569316
2025020212,"WPG","LAK","home",54.375,29,13.5,11.875,56.5,29.25,14.5,12.75,56.875,29.5,14.25,13.125,57.125,29.25,11.75,16.125,56.75,28.25,11.75,16.75,57.5,29.75,12.5,15.25,0,0,23,0.25,-1,1,-0.25,58.25,0.533333333333333,0.512035010940919
2025020203,"BUF","UTA","away",63.625,31.5,16.25,15.875,61,32,14.5,14.5,63.75,30,16.5,17.25,54.5,26.875,11.125,16.5,59.75,28.75,13.25,17.75,53,25.2,11.2,16.6,0,0,18,0.5,1.875,0,4.625,58.375,0.495088408644401,0.493119266055046
2025020204,"MTL","PHI","away",53.5,26.625,13.375,13.5,53.25,24.75,14.5,14,53.8571428571429,25.1428571428571,13.1428571428571,15.5714285714286,56.25,26.375,13.125,16.75,56.25,27.5,11,17.75,53.1111111111111,24.3333333333333,12.4444444444444,16.3333333333333,0,0,20,-1.875,1.125,0,0.25,53,0.497663551401869,0.468888888888889
2025020205,"NYI","BOS","away",57.125,28.875,14.75,13.5,60,31.25,14,14.75,58.5,28.6666666666667,14.5,15.3333333333333,62,30,15.375,16.625,61.5,31.75,15.75,14,60.8888888888889,28.7777777777778,15.5555555555556,16.5555555555556,0,0,33,2.375,1.75,0,-1.125,58.875,0.5054704595186,0.483870967741935
2025020206,"NYR","CAR","away",62.25,27.625,17.875,16.75,64.5,29.5,18.75,16.25,60.875,29,16.25,15.625,59.125,31,13.375,14.75,55,29.75,12.5,12.75,54,27,12.5,14.5,0,0,26,1.875,-1.25,0,-3.375,58.625,0.443775100401606,0.52431289640592
2025020207,"DAL","EDM","away",47.75,24.625,11,12.125,47.25,22.5,12,12.75,46.5,24.8333333333333,11,10.6666666666667,54.625,25.875,14,14.75,55.5,27.25,14.75,13.5,57.1666666666667,26.1666666666667,14.8333333333333,16.1666666666667,0,1,27,-2.125,1.375,0,-1.25,50.5,0.515706806282722,0.473684210526316
